date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:19:09	559/559	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Nov%202021%2003:49:10%20GMT	https://colorlib.com/preview/theme/knuford	C:/My%20Web%20Sites/knuford/colorlib.com/preview/theme/knuford.0.delayed	(from )
07:19:10	742/742	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2008%20Nov%202021%2003:49:11%20GMT	https://preview.colorlib.com/theme/knuford	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford.1.delayed	(from )
07:19:10	30699/30699	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Nov%202021%2003:49:11%20GMT	https://preview.colorlib.com/theme/knuford/	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/index.html	(from )
07:19:11	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
07:19:12	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/knuford/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/knuford/)
07:19:12	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	C:/My%20Web%20Sites/knuford/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/knuford/)
07:19:13	127122/127122	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/knuford/css/A.animate.css+flaticon.css+tiny-slider.css+glightbox.min.css+aos.css+style.css,Mcc.c00jH6hmbz.css.pagespeed.cf.AFASkYfk42.css	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/css/A.animate.css+flaticon.css+tiny-slider.css+glightbox.min.css+aos.css+style.css,Mcc.c00jH6hmbz.css.pagespeed.cf.AFASkYfk42.css	(from https://preview.colorlib.com/theme/knuford/)
07:19:13	30699/30699	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Nov%202021%2003:49:14%20GMT	https://preview.colorlib.com/theme/knuford/index.html	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/index-2.html	(from https://preview.colorlib.com/theme/knuford/)
07:19:13	759202/759202	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:59%20GMT	https://preview.colorlib.com/theme/knuford/images/xbg_1.jpg.pagespeed.ic.sc5qLQi6UW.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xbg_1.jpg.pagespeed.ic.sc5qLQi6UW.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:14	502795/502795	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:35:13%20GMT	https://preview.colorlib.com/theme/knuford/images/xabout.jpg.pagespeed.ic.3XzwTlBUg1.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xabout.jpg.pagespeed.ic.3XzwTlBUg1.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:14	275317/275317	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:52%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-1.jpg.pagespeed.ic.qy3tUEpwWq.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-1.jpg.pagespeed.ic.qy3tUEpwWq.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:14	1239245/1239245	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:35:01%20GMT	https://preview.colorlib.com/theme/knuford/images/xbg_3.jpg.pagespeed.ic.z_ltqRZXRc.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xbg_3.jpg.pagespeed.ic.z_ltqRZXRc.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:15	991373/991373	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:56%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-2.jpg.pagespeed.ic.S7VN-qnm5z.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-2.jpg.pagespeed.ic.S7VN-qnm5z.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:15	474310/474310	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:56%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-3.jpg.pagespeed.ic.F_zwiH0stO.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-3.jpg.pagespeed.ic.F_zwiH0stO.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:15	332732/332732	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:50%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-4.jpg.pagespeed.ic.GscbfoNHvq.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-4.jpg.pagespeed.ic.GscbfoNHvq.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:16	484405/484405	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:52%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-5.jpg.pagespeed.ic.WwQEjmOv-r.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-5.jpg.pagespeed.ic.WwQEjmOv-r.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:16	693151/693151	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:34:48%20GMT	https://preview.colorlib.com/theme/knuford/images/xproject-6.jpg.pagespeed.ic.oJeeO27vYz.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xproject-6.jpg.pagespeed.ic.oJeeO27vYz.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:16	36090/36090	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:35:07%20GMT	https://preview.colorlib.com/theme/knuford/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xperson_1.jpg.pagespeed.ic.P4pHl6glbj.jpg	(from https://preview.colorlib.com/theme/knuford/)
07:19:16	47939/47939	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2022:35:06%20GMT	https://preview.colorlib.com/theme/knuford/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	C:/My%20Web%20Sites/knuford/preview.colorlib.com/theme/knuford/images/xperson_2.jpg.pagespeed.ic.yyrmjBH91b.jpg	(from https://preview.colorlib.com/theme/knuford/)
